User,Date,Text,Compound,Positive,Neutral,Negative,Tweets Ago
BBC,Tue Jun 12 09:34:55 +0000 2018,RT @bbcthree: Robert Lee quit his well paid Wall Street job to feed the homeless https://t.co/OHl500fXn1,0.2732,0.123,0.0,0.877,31
BBC,Tue Jun 12 08:25:43 +0000 2018,"RT @bbcgetinspired: History will be made at the #WorldCup 

Here's @LivCookefs to get you in the mood. Could you do these super skills? #Ge…",0.5994,0.145,0.0,0.855,32
BBC,Tue Jun 12 08:00:18 +0000 2018,"🔊🐦 Ever heard a beatboxing starling? 
#Springwatch https://t.co/N758EN4j3s",0.0,0.0,0.0,1.0,33
BBC,Tue Jun 12 07:28:06 +0000 2018,"🧟📱 A Chinese city has introduced a special pedestrian lane on one of its roads, exclusively for slow-walking smartp… https://t.co/rBVq8RO5KN",0.4019,0.137,0.0,0.863,34
BBC,Tue Jun 12 07:00:10 +0000 2018,This new service uses a smartphone and camera glasses to help blind or partially sighted people. https://t.co/5Ca4REP9xU,0.0,0.139,0.139,0.722,35
BBC,Mon Jun 11 18:00:20 +0000 2018,"'Everything that happened, could have been prevented. But it wasn't.'
#Grenfell | 8.30pm | @BBCOne https://t.co/WN4aCfoNTA",0.0258,0.078,0.0,0.922,36
BBC,Mon Jun 11 17:31:06 +0000 2018,"Follow top female wrestler Kimberly Benson, aka Viper, as she fights in some of the most important matches of her c… https://t.co/KE73F2VSI8",0.0498,0.152,0.105,0.742,37
BBC,Mon Jun 11 16:00:11 +0000 2018,"🚺😂 @SandiToksvig can't get a moment of peace. 
#QI https://t.co/D9YlBYFxpp",0.5423,0.304,0.0,0.696,38
BBC,Mon Jun 11 15:18:53 +0000 2018,RT @BBCr4today: The building blocks of life have been found on Mars and @SanjeevGupta45 says it's an exciting prospect 👽 #r4today https://t…,0.5423,0.213,0.075,0.711,39
BBC,Mon Jun 11 15:11:47 +0000 2018,"RT @bbc5live: ""Be in charge of your own happiness"" 💪

 Inspiring words from champion wrestler @missviper91!

#FightLikeAGirl is on @BBCOne…",0.8908,0.398,0.0,0.602,40
BBC,Mon Jun 11 15:03:32 +0000 2018,"'My mum had tears coming out of her eyes'. 

❤️ This Sikh soldier became the first person to wear a turban for the… https://t.co/op7eX7mW5x",-0.2263,0.0,0.079,0.921,41
BBC,Mon Jun 11 14:25:15 +0000 2018,"The UK could see an end to homelessness within 10 years if the government embraces certain policies, according to t… https://t.co/7aqYA3BaEE",0.2732,0.095,0.0,0.905,42
BBC,Mon Jun 11 13:03:03 +0000 2018,"Think bacteria are bad? Think again. 🥛🥒🧀

These are things you should eat to get a healthy gut. 👉… https://t.co/ZS4UEckeoR",-0.2023,0.116,0.151,0.733,43
BBC,Mon Jun 11 12:01:04 +0000 2018,⚽ What's it like to be the most powerful woman in international sport? https://t.co/MqcaxKtJeH,0.6801,0.337,0.0,0.663,44
BBC,Mon Jun 11 11:03:13 +0000 2018,RT @BBCNews: 'I'm glad I was the first guardsman to wear a turban' https://t.co/fL4yzmOAPU,0.4588,0.214,0.0,0.786,45
BBC,Mon Jun 11 11:03:05 +0000 2018,"Is visual learning a myth?  🤔📚✍

Studies have been unable to find robust evidence to suggest matching teaching to p… https://t.co/Ltv1kIAf2h",0.34,0.112,0.0,0.888,46
BBC,Mon Jun 11 10:12:03 +0000 2018,"We're celebrating female voices and achievements across the BBC to mark 100 years since women got the vote.

Here's… https://t.co/5mfz9HMRb8",0.5719,0.163,0.0,0.837,47
BBC,Mon Jun 11 08:01:05 +0000 2018,🌭🐶 Two hundred dachshunds in one place... yes please! https://t.co/2ugZtgmBZ7,0.6476,0.398,0.0,0.602,48
BBC,Mon Jun 11 07:29:06 +0000 2018,"From fallopian tubes to the G-spot, women’s body parts have been named by – and after – men. 

Does it matter?
👉… https://t.co/AYYGElSo0U",0.0258,0.052,0.0,0.948,49
BBC,Mon Jun 11 07:03:07 +0000 2018,"🐺🏔🌲🎧
Need to relax? 

Sit back, close your eyes and LISTEN to the incredible sounds of Alaska... https://t.co/oxXS1KWHKW",0.4404,0.146,0.0,0.854,50
BBC,Sun Jun 10 19:04:08 +0000 2018,"As the Poldarks look to rebuild their marriage, Cornwall struggles under Warleggan pressure. 

#Poldark | 9pm |… https://t.co/yPvJnKdRr9",-0.5719,0.0,0.239,0.761,51
BBC,Sun Jun 10 18:02:27 +0000 2018,Can we interest you in a little cockroach milk to go with your cereal? Because this could be the next big food fad.… https://t.co/Vk8TrTfYQr,0.4588,0.12,0.0,0.88,52
BBC,Sun Jun 10 17:03:05 +0000 2018,Emily Davison became a martyr to the suffragette cause after running in front of the king's horse at the Epsom Derb… https://t.co/ULpY95lcsi,0.0,0.0,0.0,1.0,53
BBC,Sun Jun 10 16:02:05 +0000 2018,Little girls don’t stay little forever. https://t.co/3yThJBbcUs,0.0,0.0,0.0,1.0,54
BBC,Sun Jun 10 15:22:00 +0000 2018,"RT @BBCOne: ""We are woman, we have loud voices and lightbulb hearts...
Our bodies are like miracles, we are proud of what we are.""

Celebra…",0.6808,0.196,0.0,0.804,55
BBC,Sun Jun 10 15:19:47 +0000 2018,"RT @BBCOne: Women across the UK are marching together to create a living artwork, to mark 100 years since the first British women won the v…",0.7003,0.201,0.0,0.799,56
BBC,Sun Jun 10 15:01:05 +0000 2018,"Is feminism actually just a war on men? @RachelParris has some thoughts... 😂
#TheMashReport https://t.co/t31I5bFWgn",-0.5994,0.0,0.245,0.755,57
BBC,Sun Jun 10 14:38:18 +0000 2018,"RT @CBeebiesHQ: Would you consider an alternative to mainstream education? 

@BBCNews #SundayThoughts https://t.co/hwileHwd1K",0.0,0.0,0.0,1.0,58
BBC,Sun Jun 10 14:37:55 +0000 2018,"RT @BBCOne: We're celebrating female voices and achievements across the BBC to mark 100 years since women got the vote. 

Hands up to Bake…",0.5719,0.139,0.0,0.861,59
BBC,Sun Jun 10 12:12:42 +0000 2018,"RT @bbcarts: 100 years after the Suffragettes won the right to vote, women will gather in the streets of Belfast, Cardiff, Edinburgh and Lo…",0.5719,0.139,0.0,0.861,60
BBC,Sun Jun 10 12:02:04 +0000 2018,"Kirsty Young presents live coverage of the processions across London, Edinburgh, Cardiff and Belfast to mark the ce… https://t.co/MMZLWLI5uG",0.0,0.0,0.0,1.0,61
BBC,Sun Jun 10 10:58:07 +0000 2018,Can you believe these wonders are beneath UK waters? https://t.co/BJ3SEEIjDN,0.0,0.0,0.0,1.0,62
BBC,Sun Jun 10 10:28:00 +0000 2018,"In 1913, Emily Wilding Davison made the ultimate sacrifice in the fight for women's right to vote.
#HearHer #Vote100 https://t.co/qr7UAIPtGr",-0.3818,0.0,0.12,0.88,63
